permission,android_permission_group,privacy_category,source
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY",,,
android.permission.SET_PROCESS_LIMIT,,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.INTERNET",,,
android.permission.SCORE_NETWORKS,,,
"android.permission.GET_TASKS, android.permission.REAL_GET_TASKS",,,
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_DEVICE_STATS",,,
android.permission.MANAGE_VOICE_KEYPHRASES,,,
android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST,,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS",,,
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",,,
"android.permission.ACCESS_FINE_LOCATION, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",,,
android.permission.USE_CREDENTIALS,ACCOUNTS,Accounts,AOSP
"android.permission.MANAGE_ACCOUNTS, android.permission.USE_CREDENTIALS",,,
android.permission.REMOTE_AUDIO_PLAYBACK,,,
android.permission.ASEC_MOUNT_UNMOUNT,,,
android.permission.SERIAL_PORT,,,
android.permission.UPDATE_LOCK,,,
android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY,,,
android.permission.GET_TASKS,SYSTEM_TOOLS,System Tools,AOSP
android.permission.KILL_BACKGROUND_PROCESSES,SYSTEM_TOOLS,System Tools,AOSP
android.permission.STOP_APP_SWITCHES,,,
"android.permission.BROADCAST_STICKY, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",,,
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",,,
android.permission.CHANGE_CONFIGURATION,SYSTEM_TOOLS,System Tools,AOSP
android.permission.CLEAR_APP_CACHE,,,
android.permission.MOVE_PACKAGE,,,
android.permission.SET_ORIENTATION,,,
android.permission.SET_ANIMATION_SCALE,,,
"ti.permission.FMRX, ti.permission.FMRX_ADMIN",,,
"android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",,,
"android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",,,
"android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",,,
android.permission.FILTER_EVENTS,,,
android.permission.FREEZE_SCREEN,,,
android.permission.GET_APP_OPS_STATS,,,
android.permission.ACCESS_NOTIFICATIONS,,,
"android.permission.UPDATE_APP_OPS_STATS, android.permission.VIBRATE",,,
android.permission.TRANSMIT_IR,HARDWARE_CONTROLS,Hardware Controls,AOSP
android.permission.MANAGE_CA_CERTIFICATES,,,
"android.permission.CAPTURE_SECURE_VIDEO_OUTPUT, android.permission.CAPTURE_VIDEO_OUTPUT",,,
android.permission.CAPTURE_AUDIO_OUTPUT,,,
"android.permission.MODIFY_AUDIO_SETTINGS, android.permission.MODIFY_PHONE_STATE",,,
"android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",,,
"android.permission.BROADCAST_SCORE_NETWORKS, android.permission.SCORE_NETWORKS",,,
android.permission.BROADCAST_SCORE_NETWORKS,,,
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE, android.permission.READ_PRECISE_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",,,
"android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES",,,
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.BROADCAST_STICKY, android.permission.CHANGE_CONFIGURATION, android.permission.UPDATE_DEVICE_STATS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_USERS",,,
android.permission.CAPTURE_TV_INPUT,,,
"android.permission.ACCESS_WIFI_STATE, android.permission.READ_WIFI_CREDENTIAL",,,
android.permission.FRAME_STATS,,,
"android.permission.RECEIVE_SMS, android.permission.UPDATE_APP_OPS_STATS",,,
"android.permission.BROADCAST_NETWORK_PRIVILEGED, android.permission.SCORE_NETWORKS",,,
"android.permission.ACCESS_WIFI_STATE, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",,,
android.permission.KILL_UID,,,
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",,,
